You walked your dog 7 over 9 mi in the morning and 5 over 12 mi in the afternoon. How much farther did you walk your dog in the morning than in the afternoon?,13 over 36,12 over 21,2 over 3,35 over 108,A
Which pair of expressions below are equivalent?,7(2x) and 9x,3x + 5x and 15x,4(2x — 6) and 8x — 24,x+x+x+x and x^4,C
What is 60% of 30?,1.8,18,180,1800,B
"A package of paper towels has 12 rolls of paper towels in it. Mr. Kelly wants to put an equal number of rolls of paper towels into 4 rooms. He uses the number sentence below to find the number of rolls of paper towels, t, he should put into each room. 12 ÷ t = 4 Which number sentence shows another way Mr. Kelly can find the number of rolls of paper towels, t, he should put into each room?",4 ÷ 12 = t,4 – t = 12,4 + 12 = t,4 × t = 12,D
A store has 3 boxes of shirts. Each box has 4 packages with 7 shirts in each package. The expression 3 × (4 × 7) can be used to find the total number of shirts. Which expression can also be used to find the total number of shirts?,12 × 3,12 × 7,28 × 4,28 × 7,B
Malik has 240 CDs. He sorted them into 12 equal groups. Which expression shows how to find the number of CDs in each group?,240 ÷ 12,240 – 12,240 + 12,240 × 12,A
Which number has an absolute value greater than 5?,-6,-5,0,5,A
Find the product of −8 • (−4).,−4,4,32,−32,C
What is the most reasonable estimate of the length of a city’s swimming pool?,1 meter,25 meters,1 kilometer,25 kilometers,B
Which algebraic expression represents four times the quantity 22 less than x?,4(x – 22),(4 • 22) – x,4(22 – x),(x • 4) – 22,A
Find the LCM of 24 and 36.,96,144,72,120,C
Solve the equation 18 + p = 29.,−47,−11,11,47,C
